lieu	clients	commandes	ventes	commandesParClient	tauxRecurrence	valeurMoyenne
La Tuque (QC)	43	58	4787	1.35	0.3256	111
Baie-Saint-Paul (QC)	40	58	6982	1.45	0.175	175
Sainte-Julienne (QC)	47	57	3619	1.21	0.1277	77
Thetford Mines (QC)	50	57	3722	1.14	0.08	74
Shefford (QC)	48	56	3824	1.17	0.1042	80
Chelsea (QC)	43	55	5041	1.28	0.186	117
Orford (QC)	43	55	4154	1.28	0.2326	97
La Malbaie (QC)	39	54	4473	1.38	0.2051	115
Candiac (QC)	41	54	4515	1.32	0.1951	110
Kingston (ON)	44	54	2867	1.23	0.1818	65
Pont-Rouge (QC)	38	53	4012	1.39	0.2105	106
Saint-Raymond (QC)	42	53	3585	1.26	0.2143	85
Lasalle (QC)	38	53	4157	1.39	0.3421	109
Saint-Bruno (QC)	40	52	3673	1.3	0.225	92
Deux-Montagnes (QC)	40	52	2965	1.3	0.25	74
Les Cedres (QC)	33	52	4866	1.58	0.303	147
Matane (QC)	43	52	3656	1.21	0.1628	85
Verchères (QC)	32	52	3959	1.63	0.3125	124
Victoria (BC)	45	51	1148	1.13	0.1333	26
Sainte-Anne-Des-Lacs (QC)	33	49	3707	1.48	0.3333	112
Montmagny (QC)	36	48	4184	1.33	0.1944	116
Saskatoon (SK)	43	48	1951	1.12	0.1163	45
Lavaltrie (QC)	36	47	2862	1.31	0.25	80
Dorval (QC)	35	47	4487	1.34	0.2571	128
Farnham (QC)	34	47	3541	1.38	0.1765	104
Sainte-Marthe-Sur-Le-Lac (QC)	38	47	3341	1.24	0.1579	88
Saint-Lazare (QC)	35	46	4113	1.31	0.2857	118
Neuville (QC)	30	46	4375	1.53	0.2667	146
Outremont (QC)	36	46	4712	1.28	0.1667	131
L'Ange-Gardien (QC)	35	46	3725	1.31	0.2286	106
Sainte-Brigitte-De-Laval (QC)	26	45	5046	1.73	0.3077	194
Québec City (QC)	32	44	3256	1.38	0.2188	102
Sainte-Catherine (QC)	37	44	2516	1.19	0.1622	68
Boischatel (QC)	35	43	4089	1.23	0.1429	117
Regina (SK)	39	43	2030	1.1	0.1026	52
Burlington (ON)	36	43	1697	1.19	0.1111	47
Oshawa (ON)	38	43	936	1.13	0.1316	25
Roberval (QC)	30	42	3077	1.4	0.2333	103
Sainte-Catherine-De-La-Jacques-Cartier (QC)	23	42	3931	1.83	0.4348	171
Ville De Québec (QC)	30	42	3637	1.4	0.2333	121
Mississauga (ON)	38	42	2581	1.11	0.0789	68
Trois-Pistoles (QC)	21	41	2873	1.95	0.3333	137
Oka (QC)	31	41	3068	1.32	0.1935	99
Austin (QC)	24	41	3949	1.71	0.5417	165
Notre-Dame-De-L'Île-Perrot (QC)	30	41	3248	1.37	0.2333	108
Dolbeau-Mistassini (QC)	33	41	4077	1.24	0.1818	124
Pierrefonds (QC)	31	40	3159	1.29	0.2258	102
Saint-Laurent (QC)	28	40	3466	1.43	0.3214	124
Windsor (ON)	38	40	1032	1.05	0.0263	27
Mont-Royal (QC)	22	40	5318	1.82	0.4091	242
Nicolet (QC)	32	39	3826	1.22	0.1563	120
Coaticook (QC)	30	39	2841	1.3	0.1667	95
Waterloo (ON)	32	39	2090	1.22	0.1563	65
La Baie (QC)	31	38	2104	1.23	0.1613	68
Notre-Dame-Des-Prairies (QC)	26	38	2778	1.46	0.2308	107
Lac-Mégantic (QC)	27	38	3201	1.41	0.2222	119
Pincourt (QC)	26	37	4023	1.42	0.2308	155
Dunham (QC)	23	36	3277	1.57	0.2609	142
Plessisville (QC)	30	36	3242	1.2	0.1667	108
Contrecoeur (QC)	27	36	2594	1.33	0.2963	96
Saint-Lin-Laurentides (QC)	29	36	2053	1.24	0.1724	71
