milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/43861098201307	Syriaca / 1 sachet	6.99	6.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/43861093777627	Syriaca / Paquet de 5	29.99	29.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/44860756623579	Tuberosa / 1 sachet	6.99	6.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/44860756689115	Tuberosa / Paquet de 5	29.99	29.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/44860756590811	Incarnata / 1 sachet	6.99	6.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/44860756656347	Incarnata / Paquet de 5	29.99	29.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/44860769829083	Speciosa / 1 sachet	6.99	6.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/47205571297499	Speciosa / Paquet de 5	29.99	29.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/48591721922779	Verticillata / 1 sachet	6.99	6.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/48591721955547	Verticillata / Paquet de 5	29.99	29.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/48591721988315	Verticillata / Paquet de 10	49.99	9.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/48591722021083	Fascicularis / 1 sachet	6.99	6.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/48591722053851	Fascicularis / Paquet de 5	29.99	29.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/48591722086619	Fascicularis / Paquet de 10	49.99	9.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/48591722119387	Sullivantii / 1 sachet	6.99	6.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/48591722152155	Sullivantii / Paquet de 5	29.99	29.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/48591722184923	Sullivantii / Paquet de 10	49.99	9.99
milkweed-seeds	gid://shopify/Product/5872786833570	gid://shopify/ProductVariant/48591721824475	Exaltata / 1 sachet	6.99	6.99
