Date,Événement 1,Événement 2, Net sales total , Net sales QC , Net sales ROC , Net sales USA , Total Ad Spend ,ROAS global,, QC Meta Ad spend  , ROAS QC ,, USA Meta Ad Spend , ROAS USA ,, ROC Meta Ad spend  , ROAS ROC , La Presse , Autre Ad Numérique ,% pub total,% pub QC,% pub ROC,% pub USA,Website sessions,Nb. of Orders,Conv. rate,AOV,$/session,Commentaires/constats, Dépensé 2023A - FB Post Foulard  ," CPA 
2023A - FB Post Foulard ", Dépensé - 2023A - FB Post Prévente , CPA - 2023A - FB Post Prévente , Dépensé 2023A - FB Post Sac Lunch , CPA 2023A - FB Post Sac Lunch , Dépensé 2023A - APM prévente post , CPA 2023A - APM prévente post , Dépensé 2023A - FB Post Semelles ,  CPA 2023A - FB Post Semelles  , Dépensé 2023A - FB Post Bandeaux  ," CPA 
2023A - FB Post Bandeaux "
3/11/2026,,," $ 1,784.94 "," $ 1,784.94 ",,, $ 768.92 ,2.32,, $ 768.92 ,2.32,,,,,,,,,43.08%,,,,,,,,,,,,,,,,,,,,,
3/12/2026,,," $ 1,535.62 "," $ 1,535.62 ",,, $ 768.92 ,2.00,, $ 768.92 ,2.00,,,,,,,,,50.07%,,,,,,,,,,,,,,,,,,,,,
3/13/2026,,," $ 1,585.20 "," $ 1,585.20 ",,, $ 768.92 ,2.06,, $ 768.92 ,2.06,,,,,,,,,48.51%,,,,,,,,,,,,,,,,,,,,,
3/14/2026,,," $ 4,142.65 "," $ 4,142.65 ",,, $ 768.92 ,5.39,, $ 768.92 ,5.39,,,,,,,,,18.56%,,,,,,,,,,,,,,,,,,,,,
3/15/2026,,," $ 2,289.16 "," $ 2,289.16 ",,, $ 768.92 ,2.98,, $ 768.92 ,2.98,,,,,,,,,33.59%,,,,,,,,,,,,,,,,,,,,,
3/16/2026,,," $ 1,752.88 "," $ 1,752.88 ",,, $ 768.92 ,2.28,, $ 768.92 ,2.28,,,,,,,,,43.87%,,,,,,,,,,,,,,,,,,,,,
3/17/2026,,," $ 1,980.34 "," $ 1,980.34 ",,, $ 768.92 ,2.58,, $ 768.92 ,2.58,,,,,,,,,38.83%,,,,,,,,,,,,,,,,,,,,,
3/18/2026,,," $ 1,181.57 "," $ 1,181.57 ",,, $ 768.92 ,1.54,, $ 768.92 ,1.54,,,,,,,,,65.08%,,,,,,,,,,,,,,,,,,,,,
3/19/2026,,," $ 1,513.50 "," $ 1,513.50 ",,, $ 768.92 ,1.97,, $ 768.92 ,1.97,,,,,,,,,50.80%,,,,,,,,,,,,,,,,,,,,,
3/20/2026,,," $ 1,265.01 "," $ 1,265.01 ",,, $ 768.92 ,1.65,, $ 768.92 ,1.65,,,,,,,,,60.78%,,,,,,,,,,,,,,,,,,,,,
3/21/2026,,," $ 1,325.34 "," $ 1,325.34 ",,, $ 768.92 ,1.72,, $ 768.92 ,1.72,,,,,,,,,58.02%,,,,,,,,,,,,,,,,,,,,,
3/22/2026,,," $ 1,656.94 "," $ 1,656.94 ",,, $ 768.92 ,2.15,, $ 768.92 ,2.15,,,,,,,,,46.41%,,,,,,,,,,,,,,,,,,,,,
3/23/2026,,," $ 2,128.48 "," $ 2,128.48 ",,, $ 768.92 ,2.77,, $ 768.92 ,2.77,,,,,,,,,36.13%,,,,,,,,,,,,,,,,,,,,,
3/24/2026,,," $ 1,307.13 "," $ 1,307.13 ",,, $ 768.92 ,1.70,, $ 768.92 ,1.70,,,,,,,,,58.83%,,,,,,,,,,,,,,,,,,,,,
3/25/2026,,, $ 886.21 , $ 886.21 ,,, $ 768.92 ,1.15,, $ 768.92 ,1.15,,,,,,,,,86.76%,,,,,,,,,,,,,,,,,,,,,
3/26/2026,,, $ 225.59 , $ 225.59 ,,, $ 768.92 ,0.29,, $ 768.92 ,0.29,,,,,,,,,340.85%,,,,,,,,,,,,,,,,,,,,,
3/27/2026,,, $ 90.82 , $ 90.82 ,,, $ 768.92 ,0.12,, $ 768.92 ,0.12,,,,,,,,,846.64%,,,,,,,,,,,,,,,,,,,,,
3/28/2026,,, $ (212.00), $ (212.00),,, $ 768.92 ,-0.28,, $ 768.92 ,-0.28,,,,,,,,,-362.70%,,,,,,,,,,,,,,,,,,,,,
3/29/2026,,, $ 214.93 , $ 214.93 ,,, $ 768.92 ,0.28,, $ 768.92 ,0.28,,,,,,,,,357.75%,,,,,,,,,,,,,,,,,,,,,
3/30/2026,,, $ 372.48 , $ 372.48 ,,, $ 768.92 ,0.48,, $ 768.92 ,0.48,,,,,,,,,206.43%,,,,,,,,,,,,,,,,,,,,,
3/31/2026,,, $ 520.91 , $ 520.91 ,,, $ 768.92 ,0.68,, $ 768.92 ,0.68,,,,,,,,,147.61%,,,,,,,,,,,,,,,,,,,,,
4/1/2026,,, $ 157.06 , $ 157.06 ,,, $ 768.92 ,0.20,, $ 768.92 ,0.20,,,,,,,,,489.57%,,,,,,,,,,,,,,,,,,,,,
4/2/2026,,, $ (176.26), $ (176.26),,, $ 768.92 ,-0.23,, $ 768.92 ,-0.23,,,,,,,,,-436.24%,,,,,,,,,,,,,,,,,,,,,
4/3/2026,,, $ 255.91 , $ 255.91 ,,, $ 768.92 ,0.33,, $ 768.92 ,0.33,,,,,,,,,300.47%,,,,,,,,,,,,,,,,,,,,,
4/4/2026,,," $ 2,423.78 "," $ 2,423.78 ",,, $ 768.92 ,3.15,, $ 768.92 ,3.15,,,,,,,,,31.72%,,,,,,,,,,,,,,,,,,,,,
4/5/2026,,, $ 450.05 , $ 450.05 ,,, $ 768.92 ,0.59,, $ 768.92 ,0.59,,,,,,,,,170.85%,,,,,,,,,,,,,,,,,,,,,
4/6/2026,,, $ 384.44 , $ 384.44 ,,, $ 768.92 ,0.50,, $ 768.92 ,0.50,,,,,,,,,200.01%,,,,,,,,,,,,,,,,,,,,,
4/7/2026,,, $ 538.08 , $ 538.08 ,,, $ 768.92 ,0.70,, $ 768.92 ,0.70,,,,,,,,,142.90%,,,,,,,,,,,,,,,,,,,,,
4/8/2026,,, $ 394.67 , $ 394.67 ,,, $ 768.92 ,0.51,, $ 768.92 ,0.51,,,,,,,,,194.83%,,,,,,,,,,,,,,,,,,,,,
4/9/2026,,, $ 528.33 , $ 528.33 ,,, $ 768.92 ,0.69,, $ 768.92 ,0.69,,,,,,,,,145.54%,,,,,,,,,,,,,,,,,,,,,
