campaign_id,name,channel,send_time,recipients,delivered,open_rate,click_rate,conversions,conversion_rate,conversion_value,aov,rpr,unsub_rate,spam_rate
01KACBE0JZF4SACXNE33NQZYVS,Clone warmup EN traduit FR,email,"November 19, 2025, 12:00",9956,9951,0.1624,0.01015,11,0.00111,1798.96001,163.54182,0.18078,0.00573,0.00221
01KFR1HH0KN36DQGDV90T7EV5S,end of season 2026,email,"January 24, 2026, 13:30",11629,11571,0.48552,0.02973,18,0.00156,1668.74999,92.70833,0.14422,0.00769,0.00043
01KN7DZKMAFVM68X5XQ2R7N8CM,(region QC) Campagne nationale plantation 2026 (clone),email,"April 04, 2026, 07:30",21608,21561,0.5214,0.03274,29,0.00135,1626.39,56.08241,0.07543,0.00751,0
01KN7K2SNSMX7XTX8D5R7TJAEV,NATIONAL PLANTING CAMPAIGN 2026,email,"April 04, 2026, 12:30",11783,11736,0.44513,0.0317,41,0.00349,1606.95,39.1939,0.13692,0.0098,9e-05
01KB0BK2HEWQN05N95KG0ZPS3M,follow-up mercredi Concours automne 2025 + collab et matieres,email,"November 26, 2025, 15:30",10625,10620,0.20631,0.01008,11,0.00104,1576.02001,143.27455,0.1484,0.00631,0.00028
01K77620F5WQ7YZQ7E54PA0PDB,2025 (FR) Automne bandeaux etc.,email,"October 11, 2025, 11:30",19755,19739,0.50545,0.01717,17,0.00086,1566.68998,92.15823,0.07937,0.0077,0.00015
01K9RB86W064WYAKWN42BD1ZJ0,Follow-up jeudi Concours automne 2025 + Imparfaits,email,"November 13, 2025, 11:45",9982,9975,0.17133,0.00902,8,0.0008,1516.07999,189.51,0.15199,0.00471,0.0002
01KJTF431HHNDD4CXEJETQMZK7,erratum,email,"March 03, 2026, 18:35",20870,20846,0.5177,0.00988,15,0.00072,1379.81001,91.98733,0.06619,0.00667,0.00014
01K3WBN3D075B8VP7WXC2052YV,Warmup presale 2025 #1,email,"August 30, 2025, 13:00",9616,9537,0.51232,0.03167,18,0.00189,1322.52999,73.47389,0.13867,0.01531,0.00105
01KG767TN1SNXH8T22DFHN3BAM,Vente de fin de saison 2026 (erratum) (follow-up),email,"February 01, 2026, 12:15",8187,8161,0.13736,0.00907,10,0.00123,1321.77001,132.177,0.16196,0.00478,0.00012
01KBSWTPTCCYQ6FVC00MBYZQQ5,fin prochaine concours,email,"December 06, 2025, 14:15",8894,8842,0.48032,0.01188,8,0.0009,1285.07,160.63375,0.14534,0.0181,0.0009
01KSCYFRHZFXTA6Z4SYBNCE8D1,Réchauffement prévente 2026 #2 - video doc,email,"May 24, 2026, 12:45",19308,19303,0.60457,0.13029,11,0.00057,1255.84,114.16727,0.06506,0.00627,0.00073
01KAMNBT6TT2TRXNPJK3JY03GE,Clone fall contest + warmup EN,email,"November 22, 2025, 13:00",10533,10520,0.44838,0.01473,7,0.00067,1082.30001,154.61429,0.10288,0.01027,0.00076
