# Bris signalés par les clients — la part qui se versionne.
#
# Produit par « node bris_missive.js retenir <brouillon> ». Le brouillon, lui,
# ne se versionne pas : il porte les fils écartés en texte intégral. Ici il ne
# reste que les signalements retenus, et de chacun ce que le mur affiche.
#
# Les citations sont les mots du client, jamais reformulés — c'est ce qui fait
# comprendre un bris à quelqu'un qui n'a jamais tenu la pièce. Le nom, le
# courriel, le numéro de commande et le téléphone en ont été retirés.
#
#   produit   code du produit dans le MRP
#   zone      où ça casse : « couture de bretelle », « usure de la semelle »
#   citation  le client, mot pour mot, anonymisé. NE PAS reformuler.
#   photos    adresses web, séparées par une espace. Des ADRESSES, jamais des
#             fichiers : l'app n'héberge rien.
#   source    le fil Missive d'origine, opaque. C'est lui qui rend l'import
#             rejouable : corriger une ligne et relancer met à jour.
#
# 110 signalements, 80 avec photo.
produit	zone	date	citation	photos	source
FOULARD	couture ouverte sur la longueur	2024-12-30	Bonjour, J'ai reçu un foulard en cadeau à Noël, et j'ai remarqué qu'une couture s'est ouverte le long du foulard. Est-ce que vous pouvez m'indiquer comment procéder svp? L'article a été acheté par Hélène Vincelette. Merci, Privé [téléphone]		missive:c8511288-dd4a-40e2-8eb8-6be903ff9555
FOULARD	collage — décollé après lavage, l’asclépiade sort	2024-12-09	Bonjour! J'ai reçu ma commande samedi (avant-hier) : Commande 26774 au nom de, à Frelighsburg. Merci Beaucoup! Hier, j'ai lavé à la main à l'eau froide mon foulard, et ce matin je constate qu'il y a certains endroits sur le long du foulard qui sont ''décousus'' (ce n'est pas une couture qui est faite tout le long du foulard, je devrais donc dire ''décollés'') et je peux donc voir l'asclépiade à l'intérieur. Je voulais vous en faire part, car ce n'est sûrement pas que mon foulard qui est ''décollé'' à certains endroits. Et je ne suis pas du tout couturière, donc je suis un peu déçue! La tuque e		missive:e1fd3e7a-3587-40e1-b6ba-40390e18c1a7
GLACIERE	couture de bretelle	2026-08-18	Bonjour, J'ai acheté le sac à dos glacière l'an dernier (voir courriel de commande ci-bas). Malheureusement, la bretelle se découd. Pouvez-vous offrir une réparation? voir photo en pièce jointe	https://drive.google.com/file/d/1NRv_-4kjrwVx2V9YQ4x6J5__BBJPQLPh/view	missive:7ad07d6a-119a-4ede-b8a4-2b9ddbce586a
GLACIERE	attache principale cassée	2026-08-12	Bonjour, L’attache principale de mon sac glacière s’est cassée (voir photo) et j’aimerais savoir comment je pourrais en avoir une nouvelle. Un gros merci d’avance!	https://drive.google.com/file/d/16Ep0EeFaPVSUDTfBOZs4YH6Np9MWydxp/view	missive:ea64bd79-57a5-4cbe-9fbb-822fcbfa14fd
GLACIERE	attache en S cassée en deux	2026-05-23	Salut lasclay, On revient du parc où on a traîné, comme d'habitude, la super glacière sac à dos que vous fabriquez. Mais en la manipulant, l'attache en genre de "S" s'est cassée en deux. Bouh! 1) Est ce que vous en avez en rechange que vous pourriez nous poster/qu'on pourrait récupérer à Montréal? 2) Sinon je pense que c'est imprimé 3D... Vous serait-il possible de nous envoyer le fichier? Je pourrais me trouver un ami qui me la reproduit. Dans tous les cas, j'espère qu'il y a une solution pour que le sac puisse continuer à nous suivre dans de nombreuses autres aventures! Merci! Lkb __________		missive:841160cc-8ad8-4b70-b9e1-d6cc5e16ce2d
GLACIERE	bouts de plastique des bretelles et couture des bretelles	2026-01-25	Bonjour! Nous sommes de grands fans de vos produits et utilisons tous les jours les boîtes à lunch Lasclay. Nous avons également reçu en cadeau le sac à dos glacière. Or, à notre grande déception, il n'a duré que deux sorties. À la deuxième sortie, un des bouts de plastiques des bretelles et celui du dessus du sac ont cassé (pour aucune raison apparente!) et la couture des bretelles s'est fragilisée (voir photos). Nous n'avons pas fait d'activités extrêmes avec le sac et l'avons simplement porté normalement. Serait-il possible d'obtenir un remplacement du produit? Nous aimerions beaucoup pouvo	https://drive.google.com/file/d/1lRvHwFOrSbRhgM2UkHieiZeOdONrv5Sn/view https://drive.google.com/file/d/1KWltjg_NkJvboah9I_G971qbjAdJbPjQ/view https://drive.google.com/file/d/1SnaaA9KtjkMERl5VXNbSpolopDBbn1FZ/view	missive:8f180997-ab47-4894-a280-2f4953ee3001
GLACIERE	boucle de bretelle	2026-01-15	Bonjour, Je vous écris concernant ma commande #[commande]. J’ai bien reçu le sac, mais je constate malheureusement que la qualité n’est pas au rendez-vous. Dès le départ, la bretelle droite se desserrait constamment, ce qui m’a obligée à faire un nœud pour qu’elle tienne en place. Ce matin, la boucle en plastique de cette même bretelle s’est brisée en deux. Je dois avouer être déçue de la qualité des bretelles, surtout pour un sac censé être suffisamment robuste pour transporter 30 litres de nourriture. Pourriez-vous m’indiquer la marche à suivre afin de régler ce problème (remplacement, rembo	https://drive.google.com/file/d/1qtKm7yYm-0ooVcIrrmXdHo36VLTUDZWo/view	missive:1005226e-2b1b-4c59-88fa-2ec9bf219af4
GLACIERE	couture de bretelle	2025-10-02	Coucou! Nous avons acheté un sac à dos glacière reconditionné le 17 septembre à Québec et la couture a malheureusement déjà lâché après seulement 2 jours d'utilisation. Comme nous sommes en Italie jusqu'au 18 octobre, nous ne pouvons pas retourner en magasin pour nous faire rembourser avant cette date. Je vous envoie donc des photos attestant du bris afin que vous en preniez connaissance d'ici à ce que nous puissions retourner en magasin en personne. Merci infiniment	https://drive.google.com/file/d/1zuvI0O1kmsRQ6n8iN7fjpkugfn4rMgQ-/view	missive:34b06890-0333-4b42-9958-5976aebfd8cb
GLACIERE	couture de bretelle	2025-09-13	Bonjour, Le 2 août dernier, j'ai commandé un sac à dos noir de 30 litres et la courroie s'est malheureusement décousue après seulement 2 utilisations (voir photo en PJ). Comment dois-je procéder pour obtenir un échange?	https://drive.google.com/file/d/1DooOJhNCsX3CK6C3WyX3NnRur0SNxjX5/view	missive:cd52c3d0-f764-4317-ba37-86c730df5adc
GLACIERE	couture de bretelle	2025-09-02	Bonjour, J’ai acheté une glacière de votre compagnie qui m’a été livrée, le 7 août. Mon numéro de commande est le [commande]. Nous l’avons un peu utilisée pendant nos vacances du 15 au 25 août. Une bretelle du sac à dos est déjà décousue. Serait-il possible de la réparer.	https://drive.google.com/file/d/1vty8_GLDd2n_DygP_Q6FbqVohB-BpgHx/view	missive:d16c71fe-ad0f-40e5-a833-a688cae63e8f
