id	titre	handle	statut	type	tags	stock_total	url_boutique	variantes	images	collections	cree_le	maj_le
9357149536475	Mitaines hivernales en asclépiade, laine et cuir de mouton (100% naturelles)	mitaines-hiver-asclepiade-laine-cuir-naturel	ACTIVE	Mittens	Product-Collection-All;Winter	-77	https://lasclay.com/products/mitaines-hiver-asclepiade-laine-cuir-naturel	5	5	Home page;Mitaines d'asclépiade;Produits;Vente fin de saison: Hiver;All Products;Pour l'hiver;BFCM;Boxing week 2023;Mitaines;Produits (no garden)	2026-05-23	2026-08-11
7808527401179	Mitaines plein air isolées à l'asclépiade	mittens	ACTIVE	Mittens	Product-Collection-All;Winter	987	https://lasclay.com/products/mittens	5	8	Home page;Mitaines d'asclépiade;Produits;Vente fin de saison: Hiver;All Products;Pour l'hiver;BFCM;Boxing week 2023;Mitaines;Produits (no garden)	2022-08-28	2026-08-25
8966386385115	Mitaines pour bébé en asclépiade et laine	mitaines-bebe-asclepiade	ACTIVE	Mittens	Product-Collection-All;Winter	-6	https://lasclay.com/products/mitaines-bebe-asclepiade	1	4	Home page;Mitaines d'asclépiade;Produits;Vente fin de saison: Hiver;All Products;Pour l'hiver;BFCM;Boxing week 2023;Collaborations;Mitaines;Produits (no garden)	2025-08-14	2026-08-19
8966385696987	Mitaines urbaines isolées en asclépiade	mitaines-ville-asclepiade	ACTIVE	Mittens	Product-Collection-All;Winter	117	https://lasclay.com/products/mitaines-ville-asclepiade	20	4	Home page;Mitaines d'asclépiade;Produits;All Products;Pour l'hiver;BFCM;Boxing week 2023;Mitaines;Produits (no garden)	2025-08-14	2026-08-19
9403451539675	Mitaines urbaines isolées en asclépiade - Ancienne version	mitaines-urbaines-isolees-en-asclepiade-ancienne-version	DRAFT	Mittens	Product-Collection-All;Winter	291		25	10	Mitaines d'asclépiade;All Products;Pour l'hiver;BFCM;Boxing week 2023;Les Imparfaits	2026-07-16	2026-07-22
8581990777051	Nettoyant visage d'huile d'asclépiade - par Monarch Botanika	nettoyant-visage-huile-asclepiade	ACTIVE			-17	https://lasclay.com/products/nettoyant-visage-huile-asclepiade	1	3	Produits;Été + Tous les jours;Soins du visage - Huile d'asclépiade;Collaborations;Produits (no garden)	2024-06-15	2026-08-19
9357145538779	Oreiller d'asclépiade hypoallergène	oreiller-asclepiade-hypoallergene	ACTIVE		home;Product-Collection-All	-97	https://lasclay.com/products/oreiller-asclepiade-hypoallergene	2	4	Produits;All Products;Pour la maison;BFCM;Boxing week 2023;Pour la cuisine;Été + Tous les jours;Sacs isothermes, glacières & produits estivaux;Produits (no garden)	2026-05-23	2026-08-22
9357143736539	Oreiller de camping rembourré à la soie d'asclépiade	oreiller-camping-asclepiade-quebecois	ACTIVE		Summer	-36	https://lasclay.com/products/oreiller-camping-asclepiade-quebecois	1	3	Produits;Pour l'été;BFCM;Été + Tous les jours;Sacs isothermes, glacières & produits estivaux;Produits (no garden)	2026-05-23	2026-08-19
8682264002779	Pantoufles d'asclépiade IMPARFAIT	pantoufles-dasclepiade	ACTIVE		imparfait;Winter	-6	https://lasclay.com/products/pantoufles-dasclepiade	1	2	Produits;Pour l'hiver;BFCM;Boxing week 2023;Les Imparfaits;Produits (no garden)	2024-09-06	2026-08-19
7556236116187	Papillon monarque - Illustration 10x8	danaus-01-print-10x8	ACTIVE	Affiche	art-print;home;no-returns;Product-Collection-All;wall-art	59	https://lasclay.com/products/danaus-01-print-10x8	2	2	Imprimés;Produits connexes;Pour la maison;BFCM;Boxing week 2023	2022-03-01	2026-07-18
8682247749851	Pendentif Aile de monarque	pendentif-aile-de-monarque	ACTIVE			0	https://lasclay.com/products/pendentif-aile-de-monarque	2	4	Produits;Été + Tous les jours;Collaborations;Produits (no garden)	2024-09-06	2026-07-18
8682243129563	Pendentif Asclepias	pendentif-asclepias	ACTIVE			4	https://lasclay.com/products/pendentif-asclepias	4	3	Produits;Été + Tous les jours;Collaborations;Produits (no garden)	2024-09-06	2026-07-18
5958075875490	Pince à mitaines	pince-a-mitaines	ARCHIVED	Accessoires		0		1	4	Accessoires	2020-12-03	2026-06-27
7102616469666	Pince à mitaines (Extra)	pince-a-mitaines-1	ACTIVE	Accessoires	Product-Collection-All	629	https://lasclay.com/products/pince-a-mitaines-1	1	2	Accessoires;Autres	2021-09-19	2026-07-18
8836011655387	Plantules d'asclépiade	plant-asclepiade	DRAFT		garden;no-returns;Product-Collection-All	-60		12	8	All Products;Pour le jardin	2025-03-22	2026-07-18
8261528420571	Poignées de four	milkweed-pot-holders	DRAFT		home;Product-Collection-All	0		1	3	Produits;All Products;Pour la maison;BFCM;Boxing week 2023;Pour la cuisine;Été + Tous les jours;Produits (no garden)	2024-02-13	2026-07-30
