"date","order_number","order_id","transaction_id","type","desc","amount","gateway_meta","sku","sku_quantity","business_entity_id","business_entity_name"
"2026-07-09","50734","7282609455323",,"ProductSales"," - CA - Online store","9.99",,"1 sachet / Tuberosa","1","MTQ3NTg5MzI3MDEw","Les Produits Lasclay inc."
"2026-07-09","50734","7282609455323",,"Shipping"," - CA - Online store","2.99",,,"0","MTQ3NTg5MzI3MDEw","Les Produits Lasclay inc."
"2026-07-09","50734","7282609455323",,"ShippingTax"," - CA - Online store","0.45",,,"0","MTQ3NTg5MzI3MDEw","Les Produits Lasclay inc."
"2026-07-09","50734","7282609455323",,"Tax"," - CA - Online store","1.50",,"1 sachet / Tuberosa","1","MTQ3NTg5MzI3MDEw","Les Produits Lasclay inc."
"2026-07-09","50734","7282609455323","2909686104283","ShopifyFee"," - CA - Online store","-0.69",,,"0","MTQ3NTg5MzI3MDEw","Les Produits Lasclay inc."
"2026-07-11","50735","7285430223067",,"ProductSales"," - CA - Online store","79.98",,"S24-SEATPAD","2","MTQ3NTg5MzI3MDEw","Les Produits Lasclay inc."
"2026-07-11","50735","7285430223067",,"ShippingDiscountNotTaxed"," - CA - Online store","-9.99",,,"0","MTQ3NTg5MzI3MDEw","Les Produits Lasclay inc."
"2026-07-11","50735","7285430223067",,"ShippingNotTaxed"," - CA - Online store","9.99",,,"0","MTQ3NTg5MzI3MDEw","Les Produits Lasclay inc."
"2026-07-11","50735","7285430223067",,"Tax"," - CA - Online store","11.98",,"S24-SEATPAD","2","MTQ3NTg5MzI3MDEw","Les Produits Lasclay inc."
"2026-07-11","50735","7285430223067","2911339938011","ShopifyFee"," - CA - Online store","-2.69",,,"0","MTQ3NTg5MzI3MDEw","Les Produits Lasclay inc."
"2026-07-11","50736","7285494350043",,"ForeignCurrencyGainLoss"," - US - Online store","-0.02",,,"0","MTQ3NTg5MzI3MDEw","Les Produits Lasclay inc."
"2026-07-11","50736","7285494350043",,"ProductSalesNotTaxed"," - US - Online store","155.75",,"MW-FL-15g","5","MTQ3NTg5MzI3MDEw","Les Produits Lasclay inc."
"2026-07-11","50736","7285494350043","2911373361371","ShopifyFee"," - US - Online store","-8.65",,,"0","MTQ3NTg5MzI3MDEw","Les Produits Lasclay inc."
