"id","name","status","send_time","channel"
"01K9RB86W064WYAKWN42BD1ZJ0","Follow-up jeudi Concours automne 2025 + Imparfaits","Sent","2025-11-13T11:45:00+00:00","email"
"01K9GQJ8AGFXMMRGZCTTAWCPST","fall contest + warmup EN","Sent","2025-11-08T13:30:00+00:00","email"
"01K9G42RSECX50ZANA68HK7DEK","Follow-up 3 Concours automne 2025 + Imparfaits","Sent","2025-11-08T12:15:00+00:00","email"
"01K9B5V4BP3PGMYH0DHN2S59J7","Clone Suivi précommande Acheteur #2","Sent","2025-11-05T23:33:27.355845+00:00","email"
"01K9ADBWDM43Z3F9Z73WJ39M2R","Suivi précommande Acheteur #2","Sent","2025-11-05T16:47:18.970396+00:00","email"
"01K9AD8VT2YSN3GQQCZJFQ5257","Follow-up #2 EN Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque","Sent","2025-11-05T16:24:03.444326+00:00","email"
"01K9AD6M3JKB3N2QYMG3P3W654","Follow-up 2 Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque","Sent","2025-11-05T16:22:49.106834+00:00","email"
"01K8YETKNGB4JHXZNXJM035MGB","Clone Follow-up Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque","Sent","2025-11-01T13:00:00+00:00","email"
"01K8XE6FNF6QJ55MZ2FYAQ3VED","Follow-up Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque","Sent","2025-11-01T12:00:00+00:00","email"
"01K8BY8BHP3KE3QQN03SPSHWEH","Suivi manteaux oct","Sent","2025-10-25T12:00:00+00:00","email"
"01K84NYGT22FRFNSYE0WD7FQ1M","follow-up Fall contest 2025","Sent","2025-10-23T10:00:00+00:00","email"
"01K84N7TF8PQCC76T8REM00QMP","follow-up Concours automne 2025","Sent","2025-10-23T13:45:00+00:00","email"
"01K7Y52RJB7N7BKMBWSA57D03E","Fall contest 2025","Sent","2025-10-19T13:05:30.698208+00:00","email"
"01K7Q0EEBHZKBJYT9V136S0MG9","Concours automne 2025","Sent","2025-10-18T11:30:00+00:00","email"
"01K7A06TW1GGD89WRQ26FSQCEW","[Follow-up] 2025 (EN) Fall headbands etc.","Sent","2025-10-18T09:00:00+00:00","email"
"01K7782BAX07V938MFYP5JHPQF","2025 (EN) Fall headbands etc.","Sent","2025-10-11T09:00:00+00:00","email"
"01K77620F5WQ7YZQ7E54PA0PDB","2025 (FR) Automne bandeaux etc.","Sent","2025-10-11T11:30:00+00:00","email"
"01K5M3925D1X8KJ2PGH9RYAA86","Précommande follow-up #2 FR non-acheteur","Sent","2025-09-27T12:00:00+00:00","email"
"01K5J728616HC4CXNYWRPHX1YC","Suivi précommande Acheteur","Sent","2025-09-20T12:00:00+00:00","email"
"01K5J6W1DRQECVWR86YXTMZ6FT","Précommande follow-up FR non-acheteur","Sent","2025-09-20T12:00:00+00:00","email"
"01K5J5762CVXJ9CTC9XCRKV9WG","Suivi manteaux","Sent","2025-09-20T12:00:00+00:00","email"
"01K4X85QT1JD14QGZ3SC5AGREE","Warmup #4 EN presale 2025","Sent","2025-09-13T11:55:00+00:00","email"
"01K4X7Q0CHJE6V54862V8W7PGP","Réchauffement #4 FR Prévente 2025","Sent","2025-09-13T11:55:00+00:00","email"
"01K4V58DY7BR4B6SK4MA7XNW1Q","Warmup #3 EN presale 2025","Sent","2025-09-11T15:15:00+00:00","email"
"01K4TKZYJKRWVGTTMNFWYYWJ7H","Réchauffement #3 FR Prévente 2025","Sent","2025-09-11T14:30:00+00:00","email"
"01K4TK8YBQRRW3Q594W2PYJAV3","follow-up Warmup presale 2025 #2","Sent","2025-09-11T15:00:00+00:00","email"
"01K4TJR71KRRTXB925DQKJ31Z5","follow-up Réchauffement prévente 2025 #2 FR","Sent","2025-09-11T15:00:00+00:00","email"
"01K4FNF05Q4V5JYEEW6KKNFC8P","Réchauffement prévente 2025 #2","Sent","2025-09-06T14:15:00+00:00","email"
"01K4FC5QGHFSN9C5272PXQ5WG1","Warm-up presale 2025 #2 EN","Sent","2025-09-06T13:15:00+00:00","email"
"01K4FBQBKCEFETQ5FZWMMRYQBJ","follow-up Warmup presale 2025 #1","Sent","2025-09-06T13:00:00+00:00","email"
"01K4FBE9EXEK73MFCS6DP4XVK6","follow-up Réchauffement prévente 2025 #1 FR","Sent","2025-09-06T11:30:00+00:00","email"
"01K3WBN3D075B8VP7WXC2052YV","Warmup presale 2025 #1","Sent","2025-08-30T13:00:00+00:00","email"
"01K3VM1B33E37HQ7P05V9MVPTG","Réchauffement prévente 2025 #1 FR","Sent","2025-08-30T12:00:00+00:00","email"
"01K3V8S7X2YEW6QSQDVS8X14PC","test cath","Draft","","email"
