# Mappings de transactions — export A2X (source de vérité, éditable à la main).
# Colonnes : categorie <TAB> details <TAB> pays <TAB> marketplace <TAB> compte <TAB> taxe
#
# categorie   : la section A2X (Sales, Discounts, Refunds, Sales Tax, ...)
# details     : le type de transaction A2X (ProductSales, Discount, ShopifyFee, ...)
#               « * » = la règle d'automapping (le repli de la catégorie)
# pays        : CA | CA-QC | US | US-NY | EU | - (indifférent / N/A)
# marketplace : online | manual | pos:<locationId> | exchange | edit | <appId> | - (indifférent)
# compte      : le numéro de compte QBO (AcctNum), vide = « Select account » dans A2X
# taxe        : detaxe = « Détaxé on Sales », vide = « Select tax rate »
#
# Régénérer mappings.json :  node a2x/tools/import_mappings.js

Sales	ProductSales	CA-ON	online	4011	detaxe
Sales	ProductSales	CA-PE	online	4011	detaxe
Sales	ProductSales	CA-QC	online	4011	detaxe
Sales	ProductSales	CA-QC	manual	4020	detaxe
Sales	ProductSales	CA-NS	online	4011	detaxe
Sales	ProductSales	CA-MB	online	4011	detaxe
Sales	ProductSales	CA-QC	3890849	4011	detaxe
Sales	ProductSales	CA	3890849	4011	detaxe
Sales	ProductSales	CA	manual	4020	detaxe
Sales	ProductSales	CA	edit	4011	detaxe
Sales	ProductSales	-	pos:58394280098	4011	detaxe
Sales	ProductSales	US	3890849	4031	detaxe
Sales	ProductSales	CA	pos:58394280098	4011	detaxe
Sales	ProductSales	EU	online	4011	detaxe
Sales	ProductSales	CA	2329312	4011	detaxe
Sales	ProductSalesNotTaxed	CA-QC	online	4011	detaxe
Sales	ProductSalesNotTaxed	US-AL	online	4031	detaxe
Sales	ProductSalesNotTaxed	US-MN	online	4031	detaxe
Sales	ProductSalesNotTaxed	US-SD	online	4031	detaxe
Sales	ProductSalesNotTaxed	US-UT	online	4031	detaxe
Sales	ProductSalesNotTaxed	US-KY	online	4031	detaxe
Sales	ProductSalesNotTaxed	US-MA	online	4031	detaxe
Sales	ProductSalesNotTaxed	US-VT	online	4031	detaxe
Sales	ProductSalesNotTaxed	US-MI	online	4031	detaxe
Sales	ProductSalesNotTaxed	US	online	4031	detaxe
Sales	ProductSalesNotTaxed	CA-ON	online	4011	detaxe
Sales	ProductSalesNotTaxed	CA	online	4011	detaxe
Sales	ProductSalesNotTaxed	US-NY	online	4031	detaxe
Sales	ProductSalesNotTaxed	CA	manual	4020	detaxe
Sales	ProductSalesNotTaxed	CA	exchange	4013	detaxe
Sales	ProductSalesNotTaxed	-	manual	4021	detaxe
Sales	ProductSalesNotTaxed	US	manual	4031	detaxe
Sales	ProductSalesNotTaxed	US	3890849	4031	detaxe
Sales	ProductSalesNotTaxed	-	pos:58394280098	4011	detaxe
Sales	ProductSalesNotTaxed	CA	3890849	4011	detaxe

Shipping Income	*	-	-	4014	detaxe
Shipping Income	Shipping	CA-AB	online	4014	detaxe
Shipping Income	Shipping	CA-BC	online	4014	detaxe
Shipping Income	Shipping	CA-SK	online	4014	detaxe
Shipping Income	Shipping	CA-QC	manual	4024	detaxe
Shipping Income	Shipping	CA-PE	online	4014	detaxe
Shipping Income	Shipping	CA-ON	online	4014	detaxe
Shipping Income	Shipping	CA-QC	online	4014	detaxe
Shipping Income	Shipping	CA	online	4014	detaxe
Shipping Income	Shipping	CA-QC	3890849	4014	detaxe
Shipping Income	Shipping	CA-NB	online	4014	detaxe
Shipping Income	Shipping	CA-NS	online	4014	detaxe
Shipping Income	Shipping	CA-MB	online	4014	detaxe
Shipping Income	Shipping	CA	3890849	4014	detaxe
Shipping Income	Shipping	CA	manual	4024	detaxe
Shipping Income	Shipping	US	3890849	4034	detaxe
Shipping Income	Shipping	CA	2329312	4014	detaxe
Shipping Income	ShippingDiscountNotTaxed	CA	online	4014	detaxe
Shipping Income	ShippingDiscountNotTaxed	CA-QC	online	4014	detaxe
Shipping Income	ShippingDiscountNotTaxed	US	online	4034	detaxe
Shipping Income	ShippingNotTaxed	CA-ON	online	4014	detaxe
Shipping Income	ShippingNotTaxed	US-SD	online	4034	detaxe
Shipping Income	ShippingNotTaxed	US-MI	online	4034	detaxe
Shipping Income	ShippingNotTaxed	US-NY	online	4034	detaxe
Shipping Income	ShippingNotTaxed	CA	online	4014	detaxe
Shipping Income	ShippingNotTaxed	US-AL	online	4034	detaxe
Shipping Income	ShippingNotTaxed	US-MN	online	4034	detaxe
Shipping Income	ShippingNotTaxed	CA-QC	online	4014	detaxe
Shipping Income	ShippingNotTaxed	US-VT	online	4034	detaxe
Shipping Income	ShippingNotTaxed	US-KY	online	4034	detaxe
Shipping Income	ShippingNotTaxed	US-UT	online	4034	detaxe
Shipping Income	ShippingNotTaxed	US-MA	online	4034	detaxe
Shipping Income	ShippingNotTaxed	US	online	4034	detaxe
Shipping Income	ShippingNotTaxed	US	manual	4034	detaxe
Shipping Income	ShippingNotTaxed	US	3890849	4034	detaxe
Shipping Income	ShippingNotTaxed	CA	manual	4014	detaxe
Shipping Income	ShippingRefund	CA	online	4014	detaxe
